0x1b8eaa0e	SCNANIMS_PC
0xcb5d7405	legalscreen
0x003a261a	game
0x003a261a	game
0x82e0899b	HG_HERO_PETER
0x834d0460	HG_HERO_SPIDERMAN
0xdf7ab41e	HG_HERO_VENOM
0xa958f618	HG_TP_SABLE
0xdae07f54	HG_TP_SPIDERMAN
0xd17bf0ac	HG_TP_WOLVERINE
0xec02ba35	HG_BOSS_BEETLE
0xb0e76135	HG_BOSS_CARNAGE
0x6cd148f3	HG_BOSS_ELECTRO_NOSUIT
0xf63cdb96	HG_BOSS_ELECTRO_SUIT
0xf85fb2df	HG_BOSS_GOBLIN
0x42a1d665	HG_BOSS_MYSTIQUE
0x17cdfd44	HG_BOSS_RHINO
0x17dc210b	HG_BOSS_SABLE
0x90a32253	HG_BOSS_SHOCKER
0xdc15ebc7	HG_BOSS_SPIDERMAN
0x1814cf89	HG_BOSS_VENOM
0xd2b15d1f	HG_BOSS_WOLVERINE
0xa46140be	COMBO_WORDS
0xbf48acb6	MG_HOTPURSUIT_INDICATOR
0xd7b6f70f	HIGHSCORETRACKING
0x05be1a06	MEDALS_INTERFACE
0x479ef803	RACE_ANNOUNCER
0xf38f9950	TARGETING_RETICLE_VENOM
0x72e54ac2	CONTROLLER_TUT_PS
0x72e54bb9	CONTROLLER_TUT_XB
0x72e54989	CONTROLLER_TUT_GC
0x7a207a30	CHASE_METER_BEETLE
0xb569648d	CHASE_METER_ELECTRO
0x867d72da	CHASE_METER_GOBLIN
0x2b9975b7	CHASE_METER_QUESTION
0x42e629df	CHASE_METER_RHINO
0x42f44da6	CHASE_METER_SABLE
0x432cfc24	CHASE_METER_VENOM
0x91929d17	RACE_METER
0x82e0899b	HG_HERO_PETER
0xdf7ab41e	HG_HERO_SPIDERMAN
0x834d0460	HG_HERO_VENOM
0xa958f618	HG_TP_SABLE
0xdae07f54	HG_TP_SPIDERMAN
0xd17bf0ac	HG_TP_WOLVERINE
0xec02ba35	HG_BOSS_BEETLE
0xb0e76135	HG_BOSS_CARNAGE
0x6cd148f3	HG_BOSS_ELECTRO_NOSUIT
0xf63cdb96	HG_BOSS_ELECTRO_SUIT
0xf85fb2df	HG_BOSS_GOBLIN
0x42a1d665	HG_BOSS_MYSTIQUE
0x17cdfd44	HG_BOSS_RHINO
0x17dc210b	HG_BOSS_SABLE
0x90a32253	HG_BOSS_SHOCKER
0xdc15ebc7	HG_BOSS_SPIDERMAN
0x1814cf89	HG_BOSS_VENOM
0xd2b15d1f	HG_BOSS_WOLVERINE
0xa46140be	COMBO_WORDS
0xbf48acb6	MG_HOTPURSUIT_INDICATOR
0xd7b6f70f	HIGHSCORETRACKING
0x05be1a06	MEDALS_INTERFACE
0x479ef803	RACE_ANNOUNCER
0xf38f9950	TARGETING_RETICLE_VENOM
0x72e54ac2	CONTROLLER_TUT_PS
0x72e54bb9	CONTROLLER_TUT_XB
0x72e54989	CONTROLLER_TUT_GC
0x7a207a30	CHASE_METER_BEETLE
0xb569648d	CHASE_METER_ELECTRO
0x867d72da	CHASE_METER_GOBLIN
0x2b9975b7	CHASE_METER_QUESTION
0x42e629df	CHASE_METER_RHINO
0x42f44da6	CHASE_METER_SABLE
0x432cfc24	CHASE_METER_VENOM
0x91929d17	RACE_METER
0x82e0899b	HG_HERO_PETER
0xdf7ab41e	HG_HERO_SPIDERMAN
0x834d0460	HG_HERO_VENOM
0xa958f618	HG_TP_SABLE
0xdae07f54	HG_TP_SPIDERMAN
0xd17bf0ac	HG_TP_WOLVERINE
0xec02ba35	HG_BOSS_BEETLE
0xb0e76135	HG_BOSS_CARNAGE
0x6cd148f3	HG_BOSS_ELECTRO_NOSUIT
0xf63cdb96	HG_BOSS_ELECTRO_SUIT
0xf85fb2df	HG_BOSS_GOBLIN
0x42a1d665	HG_BOSS_MYSTIQUE
0x17cdfd44	HG_BOSS_RHINO
0x17dc210b	HG_BOSS_SABLE
0x90a32253	HG_BOSS_SHOCKER
0xdc15ebc7	HG_BOSS_SPIDERMAN
0x1814cf89	HG_BOSS_VENOM
0xd2b15d1f	HG_BOSS_WOLVERINE
0xa46140be	COMBO_WORDS
0xbf48acb6	MG_HOTPURSUIT_INDICATOR
0xd7b6f70f	HIGHSCORETRACKING
0x05be1a06	MEDALS_INTERFACE
0x479ef803	RACE_ANNOUNCER
0xf38f9950	TARGETING_RETICLE_VENOM
0x72e54ac2	CONTROLLER_TUT_PS
0x72e54bb9	CONTROLLER_TUT_XB
0x72e54989	CONTROLLER_TUT_GC
0x7a207a30	CHASE_METER_BEETLE
0xb569648d	CHASE_METER_ELECTRO
0x867d72da	CHASE_METER_GOBLIN
0x2b9975b7	CHASE_METER_QUESTION
0x42e629df	CHASE_METER_RHINO
0x42f44da6	CHASE_METER_SABLE
0x432cfc24	CHASE_METER_VENOM
0x91929d17	RACE_METER
0x82e0899b	HG_HERO_PETER
0xdf7ab41e	HG_HERO_SPIDERMAN
0x834d0460	HG_HERO_VENOM
0xa958f618	HG_TP_SABLE
0xdae07f54	HG_TP_SPIDERMAN
0xd17bf0ac	HG_TP_WOLVERINE
0xec02ba35	HG_BOSS_BEETLE
0xb0e76135	HG_BOSS_CARNAGE
0x6cd148f3	HG_BOSS_ELECTRO_NOSUIT
0xf63cdb96	HG_BOSS_ELECTRO_SUIT
0xf85fb2df	HG_BOSS_GOBLIN
0x42a1d665	HG_BOSS_MYSTIQUE
0x17cdfd44	HG_BOSS_RHINO
0x17dc210b	HG_BOSS_SABLE
0x90a32253	HG_BOSS_SHOCKER
0xdc15ebc7	HG_BOSS_SPIDERMAN
0x1814cf89	HG_BOSS_VENOM
0xd2b15d1f	HG_BOSS_WOLVERINE
0xa46140be	COMBO_WORDS
0xbf48acb6	MG_HOTPURSUIT_INDICATOR
0xd7b6f70f	HIGHSCORETRACKING
0x05be1a06	MEDALS_INTERFACE
0x479ef803	RACE_ANNOUNCER
0xf38f9950	TARGETING_RETICLE_VENOM
0x72e54ac2	CONTROLLER_TUT_PS
0x72e54bb9	CONTROLLER_TUT_XB
0x72e54989	CONTROLLER_TUT_GC
0x7a207a30	CHASE_METER_BEETLE
0xb569648d	CHASE_METER_ELECTRO
0x867d72da	CHASE_METER_GOBLIN
0x2b9975b7	CHASE_METER_QUESTION
0x42e629df	CHASE_METER_RHINO
0x42f44da6	CHASE_METER_SABLE
0x432cfc24	CHASE_METER_VENOM
0x91929d17	RACE_METER
0x82e0899b	HG_HERO_PETER
0xdf7ab41e	HG_HERO_SPIDERMAN
0x834d0460	HG_HERO_VENOM
0xa958f618	HG_TP_SABLE
0xdae07f54	HG_TP_SPIDERMAN
0xd17bf0ac	HG_TP_WOLVERINE
0xec02ba35	HG_BOSS_BEETLE
0xb0e76135	HG_BOSS_CARNAGE
0x6cd148f3	HG_BOSS_ELECTRO_NOSUIT
0xf63cdb96	HG_BOSS_ELECTRO_SUIT
0xf85fb2df	HG_BOSS_GOBLIN
0x42a1d665	HG_BOSS_MYSTIQUE
0x17cdfd44	HG_BOSS_RHINO
0x17dc210b	HG_BOSS_SABLE
